Latitude,Longitude,State,District,Stunting,Wasting,Underweight
13.2544335,80.0087746,TN,Salem,27,22.5,22.2
11.2194391,78.1677236,TN,Sivaganga,20.9,18.8,22.7
10.7713187,79.6369974,TN,Thanjavur,26,20.4,22.9
11.1085242,77.3410656,TN,The Nilgiris,33.1,31,30.7
9.8432999,78.4808775,TN,Theni,27.4,14,22
10.7869994,79.1378274,TN,Thiruvallur,30.1,23.3,26.6
8.0883064,77.5384507,TN,Thiruvarur,28.4,22.1,29.6
11.1400585,79.0786281,TN,Thoothukkudi,21.2,12.4,17.6
9.9252007,78.1197754,TN,Tiruchirappalli,30,19,27.6
10.0103658,77.4768115,TN,Tirunelveli,30.8,12.9,22.7
10.7904833,78.7046725,TN,Tiruppur,29.4,20.4,24.9
9.370589,78.8334566,TN,Tiruvannamalai,24.5,34.6,34.7
8.7641661,78.1348361,TN,Vellore,29,27.5,32.6
9.5680116,77.9624435,TN,Viluppuram,31.8,16.3,28.6
8.7139126,77.7566523,TN,Virudhunagar,29.9,17.7,25.7
23.899682,91.4048249,TR,Dhalai,32.5,23.3,27.2
23.8466982,91.9099238,TR,North Tripura,29,14.8,30.7
24.0797139,92.2630393,TR,South Tripura,25,21.5,25.8
23.2317493,91.5596117,TR,West Tripura,19.5,14.2,19
28.9844618,77.7064137,UP,Agra,44.7,14.9,34.8
28.3670355,79.4304381,UP,Aligarh,49.1,14.6,38.2
27.1591961,78.3957331,UP,Allahabad,43.8,20,43.4
28.8386481,78.7733286,UP,Ambedkar Nagar,43,22.7,41
29.967079,77.5510172,UP,Auraiya,43.6,26.5,46.4
27.8973944,78.0880129,UP,Azamgarh,40,16.9,33
27.1766701,78.0080745,UP,Baghpat,35.8,14.9,33.3
25.3176452,82.9739144,UP,Bahraich,65.1,13.7,44
28.6691565,77.4537578,UP,Ballia,39.6,14.1,31.1
28.338333,77.6077865,UP,Balrampur,62.8,10.3,43.5
25.4484257,78.5684594,UP,Banda,46.7,18,41.5
26.4148245,80.2321313,UP,Bara Banki,51.5,12.2,40.2
26.8466937,80.946166,UP,Bareilly,45.6,18.8,42.1
26.4683952,82.6915429,UP,Basti,48.9,14.1,33.3
26.7398787,83.8869698,UP,Bijnor,42.6,22.4,41.8
25.9496,83.5586,UP,Budaun,55.1,20.1,53.6
26.7671755,83.0361376,UP,Bulandshahr,43.2,16,33.8
27.1177463,83.5070203,UP,Chandauli,43.3,17.8,34.8
25.8307174,84.1857115,UP,Chitrakoot,50.9,33.3,52.5
25.2604696,83.264538,UP,Deoria,41.2,14.1,31.6
25.7490034,82.6987002,UP,Etah,51,9.6,32.2
25.326373,82.4319405,UP,Etawah,53.2,11.4,32.6
28.7893041,79.0249516,UP,Faizabad,49.9,19.3,44.9
26.0737044,83.1859458,UP,Farrukhabad,49.1,8.4,31.4
26.5024286,83.7791283,UP,Fatehpur,52.4,14.9,40.4
28.7715965,78.3387066,UP,Firozabad,44,11.7,27.9
29.3724422,78.1358472,UP,Gautam Buddha Nagar,32.2,16.2,28.4
27.4308339,82.3017728,UP,Ghaziabad,34.7,13.9,29.6
28.406963,77.8498292,UP,Ghazipur,41.4,17.7,31.7
29.4726817,77.7085091,UP,Gonda,56.9,9.8,38.6
26.8176796,82.7633133,UP,Gorakhpur,42.1,19.9,35.2
28.9421618,77.2261452,UP,Hamirpur,38.5,32.3,39.8
27.2715633,82.820974,UP,Hardoi,50.5,14.7,39.9
25.5840419,83.5770202,UP,Jalaun,45.6,32.2,49.2
27.4924134,77.673673,UP,Jaunpur,48,27.3,52.7
27.1339913,81.9618968,UP,Jhansi,36.1,27.2,39.5
25.8973038,81.9452981,UP,Jyotiba Phule Nagar,44.7,22.8,42.4
29.4438165,75.6702647,UP,Kannauj,50.4,12.2,32.9
26.7732476,82.1441643,UP,Kanpur Dehat,45.9,15.4,36.1
27.5587505,78.662567,UP,Kanpur Nagar,43.6,24.1,41.8
25.4358011,81.846311,UP,Kanshiram Nagar,51.5,11.6,32.8
27.3826126,79.5940544,UP,Kaushambi,50.1,29.9,52.8
28.6207939,79.8128649,UP,Kheri,53.9,17.5,40.8
26.2647757,82.0727061,UP,Kushinagar,45,14.6,35.1
27.7951547,78.792953,UP,Lalitpur,40.7,39,48.8
26.8117116,79.0046898,UP,Lucknow,37.5,33.6,44.5
27.2284986,79.0249516,UP,Mahamaya Nagar,44.2,9.7,31.7
27.4985811,78.0195387,UP,Maharajganj,53.3,12.5,37.1
27.0514156,79.9136731,UP,Mahoba,44.6,23.9,47.7
26.2345298,81.2408689,UP,Mainpuri,46.5,11.5,32.5
28.0311101,79.1271229,UP,Mathura,40.8,12.9,27.7
25.1336987,82.5644344,UP,Mau,40.9,19.7,35.1
26.5393449,80.4878195,UP,Meerut,35.3,18.8,35.2
25.1788154,80.8654534,UP,Mirzapur,49.1,20.8,46.5
27.883744,79.9122455,UP,Moradabad,45.1,16.4,43.2
27.5977504,81.9534815,UP,Muzaffarnagar,40.8,18.8,36.9
28.16514,80.6326916,UP,Pilibhit,51.5,21.8,44.1
24.4570238,82.9931607,UP,Pratapgarh,41.3,23.8,42.6
25.5064864,81.4278984,UP,Rae Bareli,36.2,31.4,41.3
27.5708377,81.5980246,UP,Rampur,46,20.8,44.4
27.3986345,80.1316927,UP,Saharanpur,36.9,18.5,36.1
26.9268042,81.1833809,UP,Sant Kabir Nagar,50.5,10.9,36.5
27.5839037,80.666356,UP,Sant Ravidas Nagar,51.4,21.5,49.1
26.6869797,79.4703885,UP,Shahjahanpur,49.3,23.6,54.3
26.526707,79.8296743,UP,Shrawasti,63.5,10.1,39.2
25.8499808,80.8986502,UP,Siddharthnagar,57.9,13.7,43.5
25.2920964,79.8724168,UP,Sitapur,56.4,14,48.6
27.6644011,85.3187914,UP,Sonbhadra,45.9,22.5,46.4
26.1270922,79.4703885,UP,Sultanpur,45.9,19.1,39.8
31.6861745,76.5213092,UP,Unnao,46.5,13.1,34.3
25.4796,80.338,UP,Varanasi,44.7,25.3,45.4
29.8876368,78.0195387,UT,Almora,32.9,14.4,22.5
28.9609653,79.5153773,UT,Bageshwar,25.1,26.3,27.2
29.3803039,79.4635658,UT,Chamoli,33.7,18,22.3
30.3164945,78.0321918,UT,Champawat,30.5,17.4,21.2
29.8403606,79.769426,UT,Dehradun,28.5,30.1,30.7
29.3360974,80.0910275,UT,Garhwal,22.9,27.4,27.9
30.7268307,78.4354042,UT,Hardwar,39.1,12.3,24.7
30.3011858,78.5660852,UT,Nainital,32.1,9,17
29.8687682,78.8382644,UT,Pithoragarh,30.6,20.6,16.6
29.5892407,79.646666,UT,Rudraprayag,29.9,18.4,25.9
30.2844141,78.9811407,UT,Tehri Garhwal,30.1,46.9,44.2
29.5828604,80.2181884,UT,Udham Singh Nagar,37.8,12,27.1
30.2937439,79.560344,UT,Uttarkashi,35.2,39.4,40.3
22.4080376,87.3810727,WB,Bankura,34,27,39.8
23.3320779,86.365208,WB,Barddhaman,32.5,25.8,33.7
25.9810393,88.050979,WB,Birbhum,40.5,29.5,43.1
24.1759039,88.2801785,WB,Dakshin Dinajpur,32.9,17.1,28.1
23.2324214,87.8614793,WB,Darjiling,29.1,11.3,25.7
23.8401675,87.6186379,WB,Haora,34.6,14.6,28.4
