Date,State,District,Latitude,Longitude,Households,Women,Men,Rural_Urban Classification,Population _female_ age 6 years and above who ever attended school,Population below age 15 years,"Sex ratio of the total population _females per 1,000 males_","Sex ratio at birth for children born in the last five years _females per 1,000 males_",Children under age 5 years whose birth was registered __,Households with electricity __,Households with an improved drinking_water source1 __,Households using improved sanitation facility2 __,Households using clean fuel for cooking3 __,Households using iodized salt __,Households with any usual member covered by a health scheme or health insurance __
01-06-2015,HR,Jhajjar,28.6175726,76.6874701,832,1031,175,Rural,72.6,27.2,894,713,97.9,99,93,86.4,43.9,93.1,13.4
01-06-2015,OR,Rayagada,19.171209,83.4163226,917,1030,139,Rural,43.8,29.7,1074,967,79.1,79.1,91.7,23.4,17.1,80.8,54.3
01-06-2015,MH,Akola,20.7002,77.0082,791,1029,143,Both,85.2,24.7,975,934,98.7,93.8,97.4,46.5,43.1,98.7,16.1
01-06-2015,UP,Sonbhadra,24.4570238,82.9931607,904,1027,147,Rural,59.8,35.6,936,946,54.6,52.4,87.5,23.7,20.3,98.2,15.1
01-06-2015,PB,Faridkot,30.6769462,74.7583351,837,1026,167,Both,70.5,23,888,968,100,98.9,97.3,83.7,64.2,98,25
01-06-2015,UP,Kaushambi,25.5064864,81.4278984,869,1026,127,Rural,51.1,38.8,1024,1020,53.4,49,96.8,18.7,18.6,92.8,6.1
01-06-2015,MP,Rajgarh,23.8508581,76.7336521,947,1025,155,Rural,55.1,29.5,956,997,75.4,95,65.8,19,18.6,96,22.4
01-06-2015,OR,Malkangiri,18.1640803,81.9534815,910,1022,140,Rural,44.5,34.3,1027,925,75.3,86,89.3,16.7,5.6,91.4,58.9
01-06-2015,PB,Firozpur,30.9331348,74.6224755,836,1022,155,Rural,67.4,26,890,1014,98.4,99.7,96.8,77.1,49.6,98.9,20.1
01-06-2015,AR,Lohit,27.9039651,96.1739116,893,1021,148,Rural,69.8,33.5,973,836,79.2,78.4,92.6,60.5,23.9,99.8,45.8
01-06-2015,OR,Kendrapara,20.5848321,86.6611083,928,1021,91,Rural,77.7,26.3,1129,1007,91.1,92.4,98.8,25.6,13.8,95.5,55.5
01-06-2015,UP,Bahraich,27.5708377,81.5980246,914,1021,130,Rural,45.8,42.1,988,992,34.5,31.3,99.1,12.9,14.9,78.7,9.2
01-06-2015,AN,Nicobars,10.3871439,84.1352968,813,1019,164,Rural,77.2,25.4,957,1060,99.3,99.4,99.8,86.8,39.3,99.7,4.3
01-06-2015,BR,Sheohar,26.5145872,85.2942313,943,1019,108,Rural,52,43.5,1143,900,52.2,59.7,99.5,21,11.1,90.4,7.5
01-06-2015,PB,Tarn Taran,31.4538668,74.9267599,838,1019,148,Rural,70.3,25.5,914,962,99.7,99.6,100,77.9,55.1,98.8,16.4
01-06-2015,PY,Puducherry,11.9415524,79.8082865,827,1019,179,Both,80.3,23.7,1055,809,99.2,99.6,95,62.5,86.9,93.6,31.2
01-06-2015,OR,Bhadrak,21.0582737,86.4958396,901,1017,101,Rural,76.4,28.8,1074,875,79.6,87.2,99.4,23,10.7,96.3,34.3
01-06-2015,RJ,Jaisalmer,26.9157487,70.9083443,910,1017,144,Rural,45.2,39.8,916,824,52.7,76.4,56.7,36.8,17.1,90.7,31
01-06-2015,HR,Sonipat,28.9930823,77.0150735,836,1016,185,Both,74.3,25.8,830,855,97.7,99.7,94.7,79.9,48.4,97.8,9.4
01-06-2015,MP,Damoh,23.8380986,79.4421731,920,1015,157,Rural,65.9,30,917,860,79.7,85.7,78.3,22.2,13.3,88.7,14.2
01-06-2015,AS,Karbi Anglong,25.8456764,93.4377584,907,1014,152,Rural,69.3,34.6,982,872,84.9,81.7,52.4,41.5,14.4,99.8,6.2
01-06-2015,PB,Mansa,29.9995,75.3937,839,1013,163,Rural,62,23.2,908,884,96.8,99.8,98.4,75,40.6,96.1,22.6
01-06-2015,PY,Yanam,16.7271912,82.2175775,823,1013,175,Urban,77.7,25,1044,1089,97.7,99.5,95.3,73.1,92.4,92.1,42.2
01-06-2015,WB,Paschim Medinipur,22.4080376,87.3810727,805,1013,114,Rural,74.7,25.2,1050,862,96.5,95.7,96.5,40.9,13.9,91.8,29.8
01-06-2015,OR,Baleshwar,21.4869337,86.9246005,928,1012,122,Rural,74.1,26.5,1089,969,90.3,88.7,97.7,37.3,14.2,80.2,41.6
01-06-2015,WB,Puruliya,23.3320779,86.365208,815,1012,133,Rural,53.6,28.8,983,998,95.9,79.3,82.7,12.3,6.8,93.9,27.1
01-06-2016,WB,Uttar Dinajpur,25.9810393,88.050979,825,1012,132,Rural,60.1,36.8,1023,937,88.5,90,97.5,31.8,12.3,97.3,27.3
01-06-2015,HR,Rewari,28.1927631,76.6239423,819,1011,163,Rural,68.8,25.6,894,704,93.3,98.6,93.5,69.7,39.1,97.1,18.1
01-06-2015,RJ,Bhilwara,25.321377,74.586953,920,1011,122,Rural,50,29.5,1000,981,76.2,96,82.6,32.7,27.3,96.1,22.6
01-06-2015,HR,Kurukshetra,29.9695121,76.878282,837,1010,160,Rural,71.4,24,892,823,99.7,99.9,99.8,86,59.1,95.1,8.1
01-06-2015,MP,Satna,24.6005075,80.8322428,897,1010,142,Rural,66.5,30.7,993,942,80.9,88.9,91.4,30.2,22.1,92.4,23.8
01-06-2015,TN,Coimbatore,11.0168445,76.9558321,834,1009,183,Urban,78.8,20.9,994,798,97.2,98.7,95.7,57.6,85.1,90.7,76
01-06-2015,HR,Palwal,28.1487362,77.3320262,800,1008,155,Rural,61.9,33.5,880,888,86.4,93.2,93.6,66.4,30.6,83,10.5
01-06-2015,HR,Kaithal,29.7856734,76.3984537,836,1007,145,Rural,64.9,27.1,889,949,99.2,99.9,98.8,78,41.1,89.6,13.9
01-06-2015,OR,Bargarh,21.3425839,83.624201,930,1007,148,Rural,69.6,24.2,1020,929,88.1,83.5,95.6,26.4,13.3,99.1,52.2
01-06-2015,AS,Nagaon,26.3463713,92.6840426,886,1006,139,Rural,79,33.5,1005,990,95,83.4,92.7,45.5,19,99.8,12
01-06-2015,WB,Murshidabad,24.1759039,88.2801785,830,1006,145,Rural,70.8,31.8,1083,1075,98.9,92.5,97.5,50.6,19.2,93.5,40.9
01-06-2015,AS,Bongaigaon,26.5009992,90.5352356,904,1005,145,Rural,73.4,32.1,951,895,94.3,88.4,74,45.9,27.2,99.9,9.2
01-06-2015,PB,Moga,30.6874426,75.2479061,838,1003,155,Rural,71.7,23.3,897,1057,99.3,99.4,99.1,86.9,55.4,98.6,18.5
01-06-2015,TN,Erode,11.3410364,77.7171642,835,1003,163,Both,73.2,21.3,1001,932,98.9,98.4,97.5,61.1,87.4,87.3,60.4
01-06-2015,BR,Katihar,25.552048,87.5718609,949,1001,111,Rural,51.5,41.2,1039,860,62.4,31.6,99.2,21.5,10,97.9,15.7
01-06-2015,MP,Jhabua,22.769666,74.5920921,927,1001,190,Rural,36.4,41.2,969,1033,60.5,88.6,84.9,13,9.1,93.6,2.6
01-06-2015,MP,Chhatarpur,24.9163562,79.5811827,883,1000,141,Rural,58.4,33.8,919,827,71.1,77,72.7,14.5,13.5,70.5,7.4
01-06-2015,OR,Dhenkanal,20.8424388,85.4375574,923,1000,133,Rural,72.2,25.9,1026,1044,80.3,88.7,58.8,33.3,21,98.7,52.5
01-06-2015,UP,Hardoi,27.3986345,80.1316927,901,1000,128,Rural,60.8,36.4,945,803,55.3,42.2,99.6,28.3,23.2,85.4,8.1
01-06-2015,AS,Chirang,26.6539048,90.6393702,905,996,125,Rural,67.2,31.2,965,1106,94.7,72,70.8,32.6,18.3,98.4,6.1
01-06-2015,JH,Khunti,23.0797595,85.2774207,905,996,157,Rural,58.5,30.9,974,1082,76.4,68.6,53.5,14,7.3,97.7,5
01-06-2015,RJ,Sirohi,24.8851548,72.8574558,907,996,148,Rural,48.3,33.5,999,959,68,87.2,90.3,42,40,98,22.1
01-06-2015,UT,Champawat,29.3360974,80.0910275,881,996,101,Rural,70.5,31.2,1154,991,83.7,91.7,89.5,59.5,30.4,95.4,15.4
01-06-2015,TN,Dindigul,10.3673123,77.9802906,833,995,173,Both,73,23.3,1019,1047,95.6,97.1,96.4,42.6,66.2,81.3,66.7
01-06-2015,AS,Dhubri,26.0206982,89.9743463,908,994,115,Rural,64.9,36.3,957,861,95.2,69.4,89.4,33,16.7,98.8,7.1
01-06-2015,UT,Uttarkashi,30.7268307,78.4354042,878,994,139,Rural,65.8,29.7,1031,825,67.9,93.1,75.1,48.5,28.2,93.4,32.3
01-06-2015,KA,Bidar,17.9148799,77.5046101,812,993,132,Rural,66.2,26.1,1018,1075,96.3,97.4,96,26.7,31.3,95.8,25.1
01-06-2015,KL,Malappuram,11.0509762,76.0710967,835,992,171,Both,94.7,25.9,999,936,97.6,99.5,93.8,98.7,45.7,99.3,37.3
01-06-2015,TN,Viluppuram,11.9368897,79.4872619,836,992,162,Rural,69.6,26.8,1046,819,100,99.3,96.2,32.4,57.5,87,84.3
01-06-2015,HR,Karnal,29.6856929,76.9904825,836,990,162,Both,73.1,25.7,881,880,99.6,99.5,100,87.5,54.7,94.4,11.4
01-06-2015,HR,Rohtak,28.8955152,76.606611,831,990,174,Both,71.4,28.4,916,930,95.6,99.1,98.3,77,45.8,98.6,9.9
