State,District,Households,Women,Men,Rural_Urban_Classification,Population _female_ age 6 years and above who ever attended school,Population below age 15 years,"Sex ratio of the total population _females per 1,000 males_","Sex ratio at birth for children born in the last five years _females per 1,000 males_",Children under age 5 years whose birth was registered __,Households with electricity __,Households with an improved drinking_water source1 __,Households using improved sanitation facility2 __,Households using clean fuel for cooking3 __,Households using iodized salt __,Households with any usual member covered by a health scheme or health insurance __,num
GJ,Patan,772,896,206,Rural,61.4,28.8,945,871,95.4,93.2,95.8,56.3,32.5,97.5,25.3,1
GJ,Jamnagar,804,895,206,Both,67.8,24.4,952,1004,99.3,98,88.8,68,56.8,97.6,22.5,1
UP,Jalaun,861,894,119,Rural,66.3,27.2,928,653,67.9,89,98.1,48.1,33.3,84.6,4.1,1
MH,Yavatmal,791,893,146,Rural,76.1,24.7,969,863,95.8,89.6,80.8,43.7,37.2,98,14.9,1
OR,Kalahandi,917,892,116,Rural,50.9,28.9,1011,898,79.7,67.1,93.6,14.9,7.1,96.2,50.4,1
AR,Lower Dibang Valley,874,891,126,Rural,66.3,32,955,801,67.6,72.5,95.9,68.6,41.7,99,59.6,1
GA,North Goa,798,890,397,Both,86.6,22.3,1030,963,99.4,99.6,96.5,79.8,82.5,94.5,21.9,1
JH,Saraikela Kharsawan,836,890,112,Rural,64.8,30.1,947,898,71.8,85.5,80.7,27,24.9,92.2,10.5,1
MZ,Mamit,869,890,133,Rural,82.5,32.9,962,1050,97.4,85.7,84.1,66.8,37.5,97.8,50.9,1
HP,Kullu,774,889,234,Rural,74.2,23.3,1015,1009,93.9,99.5,94.7,65.2,37.8,98.9,19.8,1
MH,Amravati,794,889,125,Both,83,22.9,979,1052,97.9,92.7,95.8,64.5,50.3,97.1,24.3,1
TN,Thiruvarur,814,887,132,Rural,80.8,25.2,1072,922,97.9,97,97.8,45.2,44.2,76,76.4,1
WB,Koch Bihar,808,886,126,Rural,73.7,26.3,1008,1073,94.6,90,97.9,49.6,13.7,89.4,44.5,1
TN,Tiruppur,833,883,170,Both,75.2,22.2,986,1066,100,99.5,97.6,51.6,90.5,93.1,62.5,1
AS,Kamrup Metropolitan,867,881,97,Urban,87.3,22.1,964,751,97.6,95,80.1,61.2,79,99.9,16.7,1
HP,Una,778,881,172,Rural,86.1,25.7,1097,877,94.3,99.8,98.5,69.3,32.2,98.3,10.7,1
JH,Simdega,876,881,118,Rural,59.9,34,1034,1122,58.6,54.9,59.6,8.5,5.7,99.6,10.6,1
PB,Sahid Bhagat Singh Nagar,789,881,113,Both,75.2,22.3,1011,1154,98.7,99.7,99.9,81.6,55.1,99,28.3,1
GJ,Rajkot,804,880,211,Both,74.9,22.8,916,773,96.6,98.6,91.7,72.3,65.2,98.4,19.3,1
GJ,Surat,752,880,206,Urban,82.9,26.8,881,684,98.9,98.3,93.4,77.4,83.4,97.9,19.1,1
PB,Sahibzada Ajit Singh Nagar,779,880,149,Both,81.9,24.7,864,815,96.6,99.5,99.4,79.4,80.7,98.7,29.1,1
HP,Solan,755,877,255,Rural,80.9,25.7,931,1115,95.7,98.8,91.9,69.1,48.4,99.1,29.3,1
MH,Washim,802,876,136,Rural,75.7,26.3,949,902,93.7,94,88.1,41.5,33.9,97.2,17.6,1
OR,Cuttack,884,876,127,Rural,79.8,23.4,992,987,89.3,91.6,91.1,38.8,31,95.1,34.2,1
TN,Sivaganga,823,876,114,Both,76.9,24.2,1197,1097,98.1,98.3,86.9,47.6,55.7,66.3,65.7,1
MH,Dhule,765,875,157,Rural,68.1,28,920,853,96.1,87.3,93.8,32,41,96.9,22.7,1
KA,Bangalore Rural,799,874,132,Rural,70.8,23,994,1313,97.9,98.3,77.5,74.4,64.5,83,38.6,1
KA,Davanagere,791,874,126,Both,69.1,23,951,1029,96.1,98,94.3,64,52.7,81.9,38,1
