State,District,Households,Women,Men,Rural_Urban_Classification,Population _female_ age 6 years and above who ever attended school,Population below age 15 years,"Sex ratio of the total population _females per 1,000 males_","Sex ratio at birth for children born in the last five years _females per 1,000 males_",Children under age 5 years whose birth was registered __,Households with electricity __,Households with an improved drinking_water source1 __,Households using improved sanitation facility2 __,Households using clean fuel for cooking3 __,Households using iodized salt __,Households with any usual member covered by a health scheme or health insurance __,num
UP,Meerut,2446,3334,433,Both,68.2,31.1,930,858,60.6,95.9,99.5,67.1,64.1,97,8,1
UP,Bareilly,1855,2506,345,Both,55.1,33.8,979,1071,55.6,69.6,99,54.3,44.1,95.1,4.8,1
UP,Firozabad,1830,2506,369,Both,67.3,33.9,961,850,54.8,85.5,96.4,33.6,36.3,95.4,2.6,1
MP,Ujjain,1888,2489,383,Both,63.9,28.9,968,1059,85.3,97.4,91.4,51.9,46.5,98.2,10.3,1
UP,Moradabad,1816,2487,363,Both,57.2,34.3,973,908,62.9,79,99.6,51.6,44.5,96.4,2.6,1
UP,Saharanpur,1831,2487,341,Both,65.3,32.9,954,906,74.7,93.4,99.3,51,37.6,98.2,3.1,1
UP,Aligarh,1836,2477,348,Both,63.8,33.9,932,880,61.2,84.6,97.8,38.4,39.6,93.8,4.5,1
RJ,Bikaner,1860,2456,338,Both,61.5,32,957,984,64.7,91.5,86.2,64.8,39.7,90.3,7.9,1
UP,Agra,1811,2448,357,Both,67.4,32.7,941,991,66.9,94.5,71.3,42.8,46.7,94.8,5,1
UP,Varanasi,1783,2442,369,Both,69.3,30.4,951,939,61.8,88.4,96,48.8,48.6,97.3,8.3,1
BR,Patna,1888,2441,375,Both,67.9,33.6,964,1017,66.8,86.6,98.8,49.9,51.7,98.7,9.4,1
MP,Hoshangabad,1902,2435,363,Both,70.7,26.2,928,958,93.2,94.4,91.1,46.4,34.4,99.4,27.1,1
MP,Indore,1935,2412,388,Urban,75.3,27.6,895,849,92.2,99.1,98.4,74.2,84.9,99.8,15.7,1
CT,Korba,1859,2378,316,Both,69.4,28.8,1022,961,81.6,93.9,80.2,34.3,26.5,99.4,62.3,1
RJ,Ajmer,1854,2335,314,Both,64.7,29.2,953,761,82.6,98.4,86.2,69.4,50.6,96.9,14.7,1
RJ,Jaipur,1816,2334,326,Both,68.5,29,920,883,68.3,98,93.7,58.1,54.6,96.6,28.9,1
MP,Gwalior,1886,2325,359,Both,68.8,28.1,887,858,83.5,95.5,97.1,56.2,57.3,97.6,15.9,1
UT,Hardwar,1785,2321,308,Both,69,31.9,929,921,69.9,97.8,99.1,56.9,46.2,96.5,6.4,1
MP,Burhanpur,1892,2307,335,Both,64.3,30.6,951,901,78.9,90.7,93.7,40,45.1,99.1,40.4,1
MN,Thoubal,1841,2302,294,Both,77.5,29.3,1062,978,63.5,85.1,33.9,45.5,37,99.8,4,1
UP,Ghaziabad,1808,2281,344,Both,74.1,30.3,899,907,69.9,97.4,84.9,64.8,78.5,98.8,10.7,1
CT,Durg,1811,2269,315,Both,75.3,26.7,997,880,88.8,99.1,98.3,44.7,36.4,99.4,68.3,1
RJ,Jodhpur,1839,2265,290,Both,58,31.9,952,870,68.4,91.3,76.9,52.6,44.8,88.6,17.6,1
MN,Bishnupur,1850,2257,271,Both,79.9,27.7,1032,915,69.3,96.4,43.9,38.2,38.8,99.8,4.2,1
CT,Raipur,1838,2251,280,Both,70.3,28.7,1004,998,89.6,98,95.1,38.6,34.7,99.3,58.5,1
UT,Udham Singh Nagar,1770,2245,290,Both,68.3,31.1,941,948,70.8,96.1,97.6,56.2,52.6,96.3,10.3,1
MN,Imphal East,1820,2232,283,Both,83.1,28.6,1057,874,75.9,96.9,32.2,43.4,50.1,99.7,6.1,1
UP,Gautam Buddha Nagar,1811,2194,347,Both,75.3,32.4,844,845,72.9,98.6,63.6,54.5,76.3,99.4,19.2,1
OR,Jharsuguda,1861,2189,294,Both,74.7,22.8,986,1007,94.1,91.8,91.3,40.3,28,98.7,43,1
JH,Dhanbad,1815,2181,302,Both,66.3,29.3,947,929,68.4,95.9,78.9,28.6,20.5,98.4,10.8,1
OR,Sundargarh,1810,2175,253,Both,69.9,25.1,1041,1036,79.3,86,89.3,37.9,24.6,98.2,50.8,1
ML,East Khasi Hills,1788,2173,265,Both,90.3,34,1027,922,84.9,95.3,85.8,65.6,43.1,99.3,24.4,1
UT,Nainital,1789,2170,264,Both,80.1,28.8,1005,854,78.2,98.6,95.9,73,62.8,95.1,13.4,1
RJ,Kota,1846,2156,351,Both,70.4,26.7,942,829,75.9,98.1,96.9,50.5,60,98,23.6,1
CT,Koriya,1850,2131,326,Both,66,29.1,1010,957,77.4,90.7,74.3,24.5,18.7,98.8,63.4,1
MN,Imphal West,1838,2129,269,Both,87,26.7,1095,1017,66.5,97.2,53.8,47.3,63.2,99.5,3.7,1
MP,Jabalpur,1799,2106,309,Both,76.8,26.1,955,924,92.8,94.6,96.6,47.5,48.5,91.2,36.3,1
JH,Ramgarh,1756,2100,269,Both,67.5,30.7,1000,971,60,94.9,67.8,39.3,17.8,97.6,21.7,1
MZ,Saiha,1782,2097,246,Both,90.4,33.8,990,962,96.9,99.4,92.4,80.1,58.7,99.8,53.5,1
JH,Bokaro,1759,2092,275,Both,63.8,29.4,975,926,65,87.3,79.8,35.8,26.8,98.8,15.6,1
UT,Dehradun,1828,2032,231,Both,79.9,24.1,936,832,87.4,99.4,99.5,75.6,84.9,99.1,31.2,1
SK,East,1853,2028,345,Both,80.3,23,957,709,97.8,99.1,98.2,83.6,70.7,99.7,26.6,1
MZ,Champhai,1841,1999,280,Both,94.6,32.7,1009,1009,98.1,99.8,97.4,87.3,52.2,99,58.3,1
NL,Dimapur,1800,1993,222,Both,83.6,30.7,1032,1053,72.6,98.7,78.8,65.3,66.6,99.8,4.7,1
UP,Jhansi,1732,1955,253,Both,64.8,25.4,946,815,81.7,88.9,96.1,45.9,40.8,86.2,5.8,1
JH,Purbi Singhbhum,1739,1952,280,Both,70.1,25.8,1001,890,85.4,91.5,90.2,43.4,40.4,99,19.8,1
TR,West Tripura,1816,1938,318,Both,84.8,22.3,996,1002,95.5,96.1,97.2,68.9,42,99.2,49.7,1
UP,Kanpur Nagar,1796,1901,309,Both,78.4,24.8,889,944,65,85.9,99.2,65.2,70.8,95.9,4.9,1
UP,Lucknow,1709,1862,251,Both,77.7,25.3,919,870,79.4,93.5,98.9,66.9,76.1,95.6,5.9,1
MZ,Lunglei,1717,1825,229,Both,91.7,28.2,944,836,99.6,99.1,94,77.7,52.2,99.6,52.2,1
OR,Khordha,1729,1822,212,Both,79.7,24.6,980,965,88.3,96.4,84.6,47,46.2,94.5,38,1
NL,Kohima,1797,1787,215,Both,86.2,28.8,1000,1137,79.1,99.4,79.8,69.1,55.6,99.3,5.3,1
AR,Papumpare,1649,1779,224,Both,77.3,30.2,978,793,75.7,98.9,91.5,68,84.3,99.1,46.6,1
MZ,Serchhip,1738,1770,249,Both,95.9,30.7,944,939,99.6,99.6,96.5,92,66.3,99.5,69.4,1
JH,Ranchi,1673,1761,247,Both,70.5,27.6,960,1026,76.2,92.2,75,37.8,39.1,98.4,6.5,1
MZ,Kolasib,1697,1660,231,Both,93.1,30.3,998,996,98.8,99,97.2,87.5,71.5,99.3,61.8,1
BR,Gaya,950,1443,158,Rural,56.2,39.4,1076,945,56.2,71.2,96.7,26.8,15.6,98.6,2.8,1
CT,Narayanpur,933,1434,213,Rural,58.3,32.6,1094,869,92,77.6,92.5,15.6,11.8,99.7,81.4,1
MP,Alirajpur,947,1430,203,Rural,35.9,40,1023,950,55.6,92.5,89.1,17.6,11.7,93.9,3.3,1
UP,Ambedkar Nagar,908,1407,172,Rural,67.2,32.1,1094,772,73.9,72.6,99.9,19.8,13.8,91.1,5.4,1
BR,Bhojpur,947,1397,171,Rural,62.4,36.1,1033,885,89.2,64.5,99.9,26.2,21,92,14.7,1
BR,Rohtas,947,1390,197,Rural,67.2,36.6,1029,892,64.9,81.1,99.4,25.9,17.9,99.2,5.6,1
JK,Poonch,833,1387,301,Rural,67.3,32.4,978,845,68.8,96.8,74.4,54.7,22.5,86.7,6.5,1
UP,Kushinagar,897,1360,134,Rural,58.8,36.2,1094,876,65.8,48.3,97.6,22.1,23.9,97.8,14.2,1
UP,Mau,905,1359,153,Rural,65.9,35.5,1092,870,81,82.9,99.5,26.6,20.7,95.2,1.6,1
BR,Siwan,942,1350,154,Rural,62.5,36,1119,983,67.1,53.2,98.4,23.6,20,96.2,12,1
UP,Sant Kabir Nagar,898,1349,127,Rural,58.6,37.8,1137,903,64.5,63.1,99.7,15.2,18,87.9,13.8,1
UP,Maharajganj,904,1346,111,Rural,54,35.9,1093,880,57.5,51.7,99.3,19.4,18.1,90,10,1
MP,Khargone _West Nimar_,946,1333,206,Rural,60.1,28.4,964,984,86.7,97.5,90.9,33.2,31.7,99.4,10.8,1
MP,Barwani,946,1332,172,Rural,51.5,36.5,1009,885,53.4,90.2,84.6,21.3,22,97.6,27.4,1
UP,Ballia,895,1329,156,Rural,63.9,34.5,1064,909,70.5,69.8,98.5,24.1,23.6,92.9,3.7,1
UP,Chandauli,897,1328,189,Rural,66.4,34.3,1005,839,67,70.8,88.9,27.9,21.8,99.1,8.5,1
UP,Jaunpur,895,1318,145,Rural,63.1,32.7,1115,833,45.8,78.3,95.4,24.1,21.5,93.2,3.4,1
UP,Sant Ravidas Nagar,898,1317,159,Rural,62.2,35.8,1077,951,59.4,80.1,86.4,20.6,25.4,97,3.2,1
UP,Rampur,924,1312,180,Rural,53.7,36.2,986,809,73.2,80.8,99.8,52.6,31.7,98.2,4.3,1
CT,Rajnandgaon,940,1309,163,Rural,75,30.1,1028,1041,96.9,98.9,92.8,44.8,19.7,98.8,76.6,1
BR,Buxer,946,1303,163,Rural,66.5,37,1034,962,63.2,65.7,99.7,27.9,23.3,98.4,10.9,1
UP,Azamgarh,900,1303,138,Rural,68.3,33.7,1135,1018,69.5,82.9,99.5,24.7,24,96.3,4.3,1
ML,South Garo Hills,935,1295,164,Rural,86.2,31.4,1021,1155,94.5,98.9,67.9,84.8,9.8,98.9,56.2,1
UP,Deoria,904,1289,131,Rural,64.2,34.3,1156,981,74.2,70.5,99.5,24.8,32.9,98.6,5.6,1
BR,Gopalganj,936,1286,112,Rural,61.7,38.3,1160,1042,60.1,56.8,99,26.4,20.4,91.2,8.7,1
BR,Arwal,946,1275,153,Rural,59.3,38.2,1145,932,88.8,47.1,99.1,21.3,10.2,92.7,25,1
UP,Jyotiba Phule Nagar,933,1271,197,Rural,59.6,33.8,1004,945,64.4,74.8,99.9,48.8,31.6,95.9,3.2,1
CT,Bijapur,918,1269,160,Rural,67.7,29.3,1006,941,96.5,91.6,93.8,21.9,9.6,99.7,86,1
UP,Bijnor,901,1265,173,Rural,64.3,32.4,1025,800,68.3,79.6,99.9,60.4,33.6,96.1,5.6,1
RJ,Sikar,900,1261,158,Rural,61.4,30.3,1015,938,67.7,96,90.9,61.2,42.8,94,17.4,1
UP,Balrampur,913,1260,138,Rural,46.2,42.9,1077,879,31.5,35.8,98.5,13.8,9.2,78.2,5.1,1
UP,Bulandshahr,910,1259,181,Rural,60.4,34.6,1002,886,62.4,87.9,99.6,47.7,31.8,97,3.1,1
MP,Guna,946,1256,214,Rural,57.8,32.2,916,1011,91.6,93.1,82.9,27.9,23.2,93.2,16.5,1
JK,Badgam,830,1253,265,Rural,55,25.2,989,1039,84.6,99,96.8,50,61.8,99.1,3.1,1
CT,Dhamtari,939,1251,177,Rural,73.5,25.4,1017,1108,94.5,98.2,95.8,54.5,20.6,99.6,83.2,1
UP,Muzaffarnagar,914,1251,159,Rural,63.1,34.8,983,804,61.7,93.4,99.6,54.5,39.2,93.8,3.3,1
MP,Khandwa _East Nimar_,945,1250,174,Rural,63.4,30.9,949,823,93.3,90.3,78.1,34.1,28,98.2,10.7,1
UP,Basti,896,1243,114,Rural,60,36.2,1086,877,61.2,66.6,99.8,16.1,19.6,96.5,16,1
BR,Vaishali,945,1242,137,Rural,58.7,37.2,1023,829,78.5,63.1,97.6,30.5,21,95.5,24.3,1
UP,Baghpat,908,1239,188,Rural,66.1,30.1,899,763,71.5,92,99.4,64.7,42.7,98.2,5.7,1
MP,Dhar,944,1237,186,Rural,56.7,31,988,992,86,95.7,86.2,35.5,34.6,98.2,7.9,1
UP,Siddharthnagar,900,1236,120,Rural,56.3,40.8,1117,886,46.6,61.9,99.7,14.9,19.2,96,5.3,1
ML,East Garo Hills,918,1235,136,Rural,78.6,36.5,1064,1094,57,86.3,40.5,51.8,6.6,98.7,18.3,1
RJ,Jhunjhunun,919,1234,161,Rural,60.7,27,1020,887,77.1,96.2,88.3,66,51,96.9,23.6,1
CT,Bilaspur,933,1232,190,Rural,70.9,31.4,1013,1067,94.9,99.3,91.9,40,28.2,99.3,69,1
BR,Nawada,942,1228,130,Rural,56.3,38.7,1169,983,51,56.7,98.8,28.8,21,98,18.7,1
RJ,Ganganagar,929,1225,198,Rural,64.8,25.8,929,907,82,94.1,92.1,73.4,39.6,97.3,12.9,1
UP,Ghazipur,890,1223,165,Rural,63.5,35.1,1112,1052,63.4,67.9,99.1,19.1,17,98.3,8.8,1
BR,Sheikhpura,941,1222,132,Rural,59.4,40.8,1104,1013,59,79.1,94.4,33.6,16.5,94.4,21.1,1
MP,Singrauli,928,1221,164,Rural,58.3,35.5,984,958,68,71,56.3,15.8,17.4,89.5,25.7,1
UP,Mathura,912,1220,165,Rural,63.3,32.7,903,876,56.1,95.6,84.2,43,32.7,95.9,5.6,1
UP,Gonda,900,1216,123,Rural,54.9,38.3,1057,1051,43,39.6,100,11.1,19.1,90.4,10.6,1
UP,Pratapgarh,891,1216,119,Rural,62.2,33,1122,922,62.7,71.3,92.5,15.8,23.5,95,6,1
UP,Gorakhpur,893,1212,145,Rural,68.1,32.9,1098,951,85.6,74.8,99.2,34.3,39.7,97.2,7.8,1
BR,Lakhisarai,946,1210,148,Rural,60.1,39.1,1013,934,51.6,79.3,93.8,36.8,14.7,98.9,9.3,1
JK,Reasi,818,1210,270,Rural,65.9,31.4,952,907,67,90.6,71.1,44.4,16.5,83.8,3.8,1
MP,Mandsaur,947,1210,210,Rural,60.2,28.1,983,817,80.2,97,69.7,28.3,29.1,98.1,10.5,1
BR,Begusarai,951,1203,164,Rural,57.2,40,1044,955,68,63.6,99.1,34.2,16.5,98.3,12.2,1
BR,Bhagalpur,946,1203,166,Rural,59.7,38.2,1015,916,78.7,69.2,97.3,32.3,23.2,89.7,23.9,1
MP,Harda,949,1202,201,Rural,65.8,29.7,922,814,85.9,96.5,87.7,51.4,30.9,99.2,16.6,1
UP,Faizabad,913,1202,142,Rural,64.8,33.5,1057,918,77.9,65.4,98.7,24.2,24.5,92.7,6.6,1
JK,Bandipore,816,1201,296,Rural,62.5,29.2,1050,875,73,95.1,91.4,37.2,54.3,99.7,3.4,1
BR,Jamui,947,1199,157,Rural,53,39,1036,900,53,62,78.6,14.8,9.2,92.8,2.7,1
ML,West Garo Hills,939,1195,156,Rural,77.3,33.1,988,1016,86.3,92.9,51.4,45.7,16.3,99.3,35.6,1
BR,Aurangabad,946,1194,118,Rural,61.2,36.7,1084,905,57.2,59.7,98.8,27.1,16.6,93.7,20.5,1
OR,Nabarangapur,942,1191,169,Rural,48.6,33.2,1036,1077,65.9,69,98.4,16.1,9.2,87.6,48.5,1
JK,Kulgam,822,1187,338,Rural,60.4,27.8,982,1032,62.5,97,98.1,50.9,50.8,96.8,1.9,1
MP,Neemuch,936,1186,191,Rural,60.4,27.4,978,836,88.3,97.1,76,32,34.7,98.4,6.7,1
JK,Shupiyan,817,1184,302,Rural,63.3,27.8,975,1152,64.9,96.7,94.5,57.2,43.8,97.1,0.8,1
BR,Kishanganj,939,1183,137,Rural,46.8,40.6,1086,945,66.2,51.1,98.8,15.9,5.6,95.9,10.9,1
BR,Supaul,944,1181,121,Rural,47.6,42.4,1123,909,55.9,60.9,99.9,15.8,6.1,98.2,8.4,1
BR,Kaimur _Bhabua_,948,1175,152,Rural,61.4,38.2,1027,893,62.6,73.6,95.3,21.5,13.8,96.5,20,1
BR,Banka,946,1174,170,Rural,52.6,38.9,1006,766,80.8,47.2,92.9,14.3,9.3,89.7,16,1
RJ,Baran,928,1173,146,Rural,56.9,28.1,959,805,78.9,91.7,91.4,31.4,25,97.7,13.4,1
MP,Raisen,945,1171,180,Rural,70.3,30.6,903,908,94.7,92.8,95.1,39,26.7,92.2,22.7,1
RJ,Nagaur,933,1167,168,Rural,52.7,29.5,1011,820,70.2,90.6,66.1,53.8,24.4,88.9,29.2,1
UP,Etah,905,1163,163,Rural,66.9,34.5,940,839,49.6,65.9,99.1,23.2,24.4,96,8.3,1
JK,Anantnag,812,1162,269,Rural,62.5,26.1,999,860,66,96.7,95.4,54.9,70,97.4,2.6,1
UP,Allahabad,889,1162,142,Rural,64.5,33.2,1034,925,43.3,78.5,92.2,32.7,36.8,98.4,7.1,1
UP,Farrukhabad,905,1159,169,Rural,70.3,35.5,981,1002,55.6,62.6,99.9,30.3,24.6,93.2,5.9,1
MP,Chhindwara,915,1157,175,Rural,67.6,25.9,950,933,91.9,89.3,81.7,34,25,95.8,14.8,1
CT,Bastar,926,1153,160,Rural,54.3,31.9,1082,1043,78.2,85.9,94.5,17.6,10.4,98.5,71.2,1
UP,Pilibhit,915,1152,190,Rural,57.9,31.9,937,955,69.5,51.7,99.5,37,27.6,83.3,3.4,1
JK,Ganderbal,827,1151,299,Rural,58.4,27.1,969,1097,73.8,99.7,95.9,55.8,66.6,99.6,3.1,1
UP,Sultanpur,898,1151,126,Rural,61.1,34.8,1078,825,62,75,95.3,16.7,16.8,93,7.3,1
UP,Kanshiram Nagar,919,1146,145,Rural,58.6,36.9,989,851,56.4,54.3,99.8,20.8,18.7,97.4,2.1,1
UP,Etawah,902,1145,167,Rural,72.5,32,935,813,63.4,91.3,98.6,28.7,26.9,94.3,10.9,1
CT,Dakshin Bastar Dantewada,909,1144,153,Rural,43.6,30.8,1021,1088,74.8,86.8,94,22.4,16.1,99.6,65,1
RJ,Churu,932,1144,160,Rural,57.3,32.1,1009,896,72.3,95.3,83.6,73.3,30.3,92.5,18.6,1
JH,Hazaribagh,900,1142,164,Rural,63.8,33.2,1004,862,79.7,96.4,67.5,27.7,18,98.3,18.8,1
RJ,Dhaulpur,929,1142,168,Rural,62.7,37.8,916,852,47.2,91.4,91.4,31.6,20.7,85.6,32.5,1
AS,Karimganj,911,1141,146,Rural,80.6,34.4,986,952,98.1,71.3,62.8,39.5,22.5,99.6,5,1
BR,Saharsa,944,1139,139,Rural,48,40.8,1044,968,52,58.3,99.7,16.6,12.9,93.7,9.3,1
UP,Mainpuri,901,1137,181,Rural,72.6,33.4,983,855,58.1,81.9,99.3,27.3,24.4,96.4,9.2,1
MP,Dewas,939,1136,172,Rural,63.6,29.7,964,961,92.7,98.6,93.5,47,37.8,99.1,16.3,1
OR,Anugul,938,1135,144,Rural,72.9,25.6,935,879,73.8,87.4,77.2,35.6,21.4,89.5,60.5,1
OR,Puri,942,1135,144,Rural,78.9,22.5,996,922,92.4,95,95,40.1,19.9,99.7,57.8,1
UP,Mahamaya Nagar,906,1135,150,Rural,68.2,33,921,951,53,86.3,96.3,30.5,30.2,95.4,4.8,1
CT,Janjgir Champa,933,1134,170,Rural,68.7,29.2,1038,819,77.7,98.2,95.3,29,18.9,99,70.1,1
UP,Kannauj,906,1134,153,Rural,66.2,36.4,988,1099,41,70.7,99.7,22,19.2,94.5,5.2,1
BR,Araria,942,1133,117,Rural,52.5,42.7,1110,969,50.5,48.6,99.6,12.5,5.2,95.3,5.4,1
ML,Jaintia Hills,923,1133,141,Rural,78.5,43.1,981,1029,80.9,85.4,74.4,55.5,21.6,99.4,56.9,1
OR,Kandhamal,938,1133,142,Rural,58.7,29.3,1070,1057,77.2,77.6,61.4,16.5,6.4,95.3,61.8,1
CT,Uttar Bastar Kanker,912,1132,144,Rural,68.6,26.6,1052,811,87.4,95.8,98,38.7,14.5,99.2,78.9,1
MP,Shivpuri,946,1132,206,Rural,55.8,31,910,1082,80.6,87.3,65.6,22.6,19.7,94.5,16.9,1
BR,Khagaria,948,1131,134,Rural,53.7,42.5,1043,970,62.5,54.2,98.8,30.8,13.4,97.2,7.9,1
BR,Saran,903,1130,138,Rural,61.5,38,1075,976,56.3,59,98.4,25.4,17.4,80.4,8.3,1
CT,Mahasamund,930,1130,167,Rural,65.1,28,1049,886,90,98,96.8,22,12.9,99.1,73.1,1
JK,Rajouri,818,1128,253,Rural,67.9,32.3,1000,1074,45.2,94.3,66.4,39.6,32.6,83.9,4.2,1
AS,Tinsukia,925,1127,171,Rural,67.1,29.6,989,883,80.3,76.3,96,50.8,26.9,99.9,17.2,1
BR,Darbhanga,945,1126,116,Rural,53.8,41.3,1145,974,65.4,58.4,99.9,27.7,18.3,91.6,15.2,1
BR,Madhubani,945,1126,143,Rural,51.6,40.4,1147,954,53.7,53.7,99.6,19.1,12.2,80,12.1,1
CT,Kabirdham,928,1126,150,Rural,58.3,33,1031,886,85.4,95.2,93.5,20.8,10.3,97,66.4,1
MP,Morena,943,1125,182,Rural,61.5,30.9,895,1093,86.8,87.9,92.3,36.9,23.5,86.7,10.6,1
SK,West,937,1125,223,Rural,77.2,24.1,933,801,98.5,99.6,94,93,41.4,99.9,36.3,1
UP,Rae Bareli,906,1123,180,Rural,63.7,31.1,1049,921,69.3,71.6,98.4,18.4,22.7,84.2,6.2,1
RJ,Hanumangarh,936,1122,193,Rural,59.9,27.3,928,1013,77.6,94.8,96.6,55.2,25.1,97,7,1
RJ,Jalor,906,1122,177,Rural,47.4,34.6,957,883,64.9,82.8,79,39.4,27.1,99.2,9.3,1
MP,Datia,951,1121,170,Rural,62.1,29.1,893,819,77,89.6,91.7,33.5,21.7,85.3,12.9,1
TN,Krishnagiri,830,1120,200,Rural,72.6,24.3,1009,742,98.9,99,92,43.8,62.4,82.6,73.2,1
JH,Giridih,920,1119,127,Rural,57.6,37.6,1083,773,62.5,90.1,65.6,18.3,14.6,98.9,18.3,1
ML,Ribhoi,903,1119,147,Rural,79.3,40,1007,1113,83,85.9,70.4,56.3,9.6,97.8,36.3,1
BR,Sitamarhi,946,1118,123,Rural,53.4,41.6,1103,993,56.5,39.4,100,20.2,12.8,95.4,6.5,1
BR,Madhepura,948,1116,109,Rural,46.4,44.4,1130,895,56.3,53.3,100,15,9,96.3,9.3,1
MH,Nagpur,997,1116,150,Both,86,20.9,1004,957,98.4,97.2,95.4,71.1,75.7,94.4,18,1
RJ,Sawai Madhopur,911,1115,155,Rural,51.7,32.5,1001,850,59.7,86.4,85.2,34.6,17.9,88.9,31.6,1
BR,Purnia,946,1114,133,Rural,57.8,41.9,1091,912,59.4,50.6,99.7,14.4,8.6,95.9,17,1
RJ,Alwar,913,1113,139,Rural,61.2,33.5,937,748,56.1,96.9,97.9,40.3,24,95.2,10.6,1
UP,Budaun,904,1113,164,Rural,51.4,39.8,981,946,53.1,52.4,100,30.6,22.3,96.8,6,1
UP,Mirzapur,890,1113,156,Rural,60.6,34.8,955,967,43.7,68.3,88.1,23.3,17.7,98.1,6.3,1
AS,Jorhat,920,1112,152,Rural,82.2,23,980,752,98.5,87.1,88.1,64.5,34.4,99.8,11.8,1
MP,Seoni,922,1109,159,Rural,68.6,28,1031,951,89.4,81.9,78.2,24.4,18,92.9,21.6,1
HR,Mahendragarh,822,1108,189,Rural,70,23.6,876,698,96.7,98.6,96,74.3,32.9,89.9,10.4,1
BR,Jehanabad,938,1107,121,Rural,59.6,37.1,1103,846,63.6,68.8,99.4,29.3,20.1,97.2,17.7,1
AS,Dhemaji,932,1106,134,Rural,75.1,32.5,1014,887,96.8,63.5,91.7,41.4,11,99.2,9.5,1
HR,Fatehabad,837,1104,186,Rural,65.1,25.5,908,922,97.2,99.8,99.8,87.5,39.1,96.7,3.1,1
MP,Bhopal,943,1104,172,Urban,77.4,26.3,899,890,93,98.3,93.5,61.8,74.9,98.3,35.9,1
MP,Sehore,945,1104,176,Rural,58.2,29.2,927,943,86.4,98,89.3,47.1,24.9,97.8,16.1,1
AS,Nalbari,910,1103,163,Rural,78.6,28.3,964,891,95.3,84,98.4,51.2,35.5,99.7,10,1
MP,Anuppur,909,1102,137,Rural,63.8,30.1,996,829,84.7,79,69.3,22.2,18.2,93.2,26.8,1
HR,Bhiwani,830,1101,170,Rural,68.9,27.9,980,999,97.2,99.2,89.8,82.6,33.4,91.1,11.2,1
HR,Sirsa,835,1101,157,Rural,64.9,27,913,847,96.6,98.9,98.2,79.5,41.8,88.3,8.4,1
RJ,Banswara,936,1100,153,Rural,50.4,35.5,983,1012,65.1,67.9,92,20.8,12.6,79.3,12.5,1
RJ,Karauli,910,1100,167,Rural,54.7,33.5,988,936,50.8,94.3,86.2,21.1,14,87.4,24.9,1
JK,Kupwara,818,1098,259,Rural,65.1,33.5,972,930,60.1,93.3,89.2,38.4,48.6,98,2.3,1
JK,Udhampur,806,1098,256,Rural,64.8,28.6,979,914,98.5,97.6,64.5,34.6,26.8,87.1,5.2,1
MP,Shajapur,945,1098,170,Rural,57,29.3,906,872,95.4,96.5,83.2,34.8,25.5,96.5,13.7,1
MP,Sheopur,947,1098,160,Rural,52.1,34,945,923,81.6,83.1,93,15.4,13.8,97.3,22.4,1
RJ,Dausa,914,1097,146,Rural,59.3,32.3,1016,965,53.1,90.4,94,36.1,16.7,92.9,34,1
UP,Unnao,892,1097,151,Rural,64.4,32.8,1011,915,73.3,45,97.7,28.3,22.9,93.5,5.4,1
HR,Yamunanagar,836,1096,164,Both,76.3,24,867,616,97.5,99.9,99.7,80.2,61.6,96.7,11,1
JH,Jamtara,925,1094,166,Rural,56.3,33.5,990,915,53.3,81.4,90.4,14,3.7,97.3,11.8,1
AS,Dibrugarh,899,1093,160,Rural,75.9,27.2,1035,931,86.4,75.4,98.8,56.6,28.1,99.8,7.7,1
AS,Barpeta,919,1092,133,Rural,70.5,33.3,982,906,96.9,72.3,97.8,34.9,22.6,99.5,25.7,1
MP,Rewa,909,1092,152,Rural,64.8,33.4,995,906,80.7,86.9,88,24.7,13.2,89.6,20.1,1
OR,Nuapada,932,1092,128,Rural,57.2,30.9,1044,999,66.7,82.3,95,20.2,8.7,98.6,55.1,1
MP,Narsimhapur,921,1091,176,Rural,70.6,26.4,901,881,82.5,91.6,97.2,40.7,21.4,96,13.9,1
SK,South,938,1091,47,Rural,80.8,22.3,924,1096,100,99.8,99.6,93.4,52.5,99.4,32.5,1
AS,Golaghat,928,1089,142,Rural,80.8,25.2,1016,1017,95.8,86.8,94.3,59.6,15.7,100,9.5,1
HR,Hisar,835,1089,166,Both,67.2,25.6,883,776,99.1,99,93.9,84.5,38.8,91.4,10.3,1
UP,Chitrakoot,909,1089,134,Rural,57.9,36.4,1034,968,70,67.3,92.2,15.8,11.6,77.6,2.7,1
MP,Ratlam,933,1088,166,Rural,60.1,30.4,975,912,82.3,93.5,88.4,33.7,32.9,95.3,7,1
AS,Darrang,924,1087,144,Rural,70.5,31.5,977,1001,94,77,97,45.6,17.6,99.3,4.9,1
RJ,Dungarpur,941,1087,139,Rural,53.3,34,1009,811,66.9,78.7,90.7,32.9,16.9,92.3,9.6,1
AS,Kamrup,902,1085,130,Rural,76.1,27.8,1002,966,94.4,88.8,93.9,52.6,37.3,98.9,6.8,1
OR,Jajapur,919,1085,150,Rural,76.4,25.4,1020,725,82.4,93.2,87.8,30.7,15.9,99.3,51.7,1
BR,Muzaffarpur,946,1084,134,Rural,57.8,37.4,1059,930,60,72.7,99.4,28.5,21.9,94.7,10.2,1
RJ,Tonk,905,1084,136,Rural,54.2,28.7,987,880,79.3,96.7,90.2,32.6,21.5,96.4,23.8,1
